year,rmse,mae,directional_accuracy (%),spearman
2015,0.09157566797761955,0.08166827299667449,57.24,0.24799923026744544
2016,0.11223129855971609,0.09734073186824223,41.44,0.04050674947738962
2017,0.06551064164175646,0.052621547265061644,43.33,-0.03318773741677219
2018,0.08659818595720481,0.07115978815076672,58.53,-0.013293865861920308
2019,0.07417632829542006,0.05967368473969761,44.39,-0.03743167251125997
2020,0.07555402104286359,0.06257259131513306,41.69,-0.04496224457359459
2021,0.05375429369739398,0.04040766182139792,44.42,0.014732071054604492
