year,rmse,mae,directional_accuracy (%),spearman
2015,0.11257275609071281,0.08868816562883236,49.8,0.13079197039106175
2016,0.6314874495525422,0.5984034641798578,34.19,0.1110151431904426
2017,0.2979511468727913,0.2593383032108186,30.53,-0.036510889115950726
2018,0.21324824472818607,0.1863503360023572,70.78,0.019047404077107845
2019,0.20294663078566433,0.17074764281846305,43.29,0.06610541573144814
2020,0.34816450662087217,0.3248839733458888,23.59,0.19034132824729652
2021,0.12580980669576217,0.10078641754713473,52.13,0.21127041541990754
