year,rmse,mae,directional_accuracy (%),spearman
2015,0.09892320990123199,0.07515640682214289,63.87,0.3718056346871274
2016,0.333521293014203,0.3138687877932777,33.22,0.07709935407462934
2017,0.17944798430058567,0.156984540627063,29.73,-0.052862430605524716
2018,0.23288621025934056,0.21362792468427616,70.62,0.04949504218759624
2019,0.18469794863142613,0.14663279016454606,40.08,0.0829565975605296
2020,0.31370337979374,0.2855200053683119,27.08,0.06882262482826207
2021,0.1149309637061128,0.08684845849872506,55.17,0.21659348184747418
