year,rmse,mae,directional_accuracy (%),spearman
2015,0.12395513335740425,0.09838295727968216,74.14,-0.5356465349065614
2016,0.24920717828367386,0.21178025007247925,52.16,0.5205453123168085
2017,0.1283833199523914,0.10898469388484955,38.53,0.07344866527775075
2018,0.18467117258376137,0.15271732211112976,62.34,-0.2256352343308865
2019,0.08700417015992372,0.06974547356367111,61.64,0.36552569821772124
2020,0.18910217223594122,0.16827449202537537,37.34,0.42490883148719466
2021,0.07653932707295875,0.06082019954919815,58.19,0.21559268022195352
2022,0.19449204735445366,0.16287842392921448,51.08,0.040644288245487645
