year,rmse,mae,directional_accuracy (%),spearman
2015,0.12385929690046123,0.09968044608831406,28.88,-0.4917074933354347
2016,0.18028303639490126,0.15778324007987976,51.72,0.5301207598084909
2017,0.12991931230330958,0.10631777346134186,35.93,0.028975447341264435
2018,0.14520443261388086,0.11652177572250366,64.07,-0.10982106349422693
2019,0.08479039296197997,0.06539787352085114,64.66,0.27596393542819464
2020,0.18839715856362818,0.16515913605690002,30.04,0.25384406674180243
2021,0.08017590124328035,0.06918366253376007,45.69,-0.050415249986065426
2022,0.18237082034466445,0.14999258518218994,46.32,-0.08350045756342608
