year,rmse,mae,directional_accuracy (%),spearman
2015,0.061884851287312734,0.053966941495037765,54.29,0.10292917277360945
2016,0.02749411919914984,0.020594525712882984,50.86,0.01921845083671908
2017,0.021033858203780217,0.01476788597687117,48.87,-0.024044504908668853
2018,0.026227139131284022,0.01981823526168128,47.48,-0.03607232247336331
2019,0.026634820527102265,0.020601386117478353,47.6,0.019942940389651265
2020,0.018360352423986266,0.012327218934969532,49.33,0.02494072950491712
2021,0.02131952434758291,0.015100294349125885,53.75,0.021708280496918343
