year,rmse,mae,directional_accuracy (%),spearman
2015,0.07361563841481238,0.05761672556400299,34.91,-0.04426578305518662
2016,0.11856730282451153,0.0975191667675972,53.45,0.18662661199512057
2017,0.06687310147041604,0.05231020972132683,45.89,0.022267762222784714
2018,0.0817204588142489,0.06711830943822861,58.01,-0.07685702603243832
2019,0.047022252952973076,0.036872345954179764,61.21,0.16483146866453066
2020,0.09861276913935088,0.08060714602470398,37.34,-0.009429916933246815
2021,0.054541864362924346,0.043798357248306274,56.03,0.18411209923715469
2022,0.10476346320212557,0.0805230513215065,58.44,0.09276076247590491
