year,rmse,mae,directional_accuracy (%),spearman
2015,0.10875502778220329,0.08579590171575546,31.9,-0.18611194932047379
2016,0.14089876917838878,0.1257196068763733,50.0,0.43120073651374513
2017,0.09204855870267739,0.07523344457149506,41.99,0.12688623220857106
2018,0.12376683264582512,0.09602799266576767,64.94,-0.11806012578126522
2019,0.08458929333433989,0.07039928436279297,50.86,0.05544226381876226
2020,0.1671573925984816,0.14421114325523376,33.48,0.15465632980802435
2021,0.07725294796498372,0.06508897244930267,55.6,-0.013208043990935803
2022,0.16004036572079142,0.13078519701957703,51.95,0.018589731108471737
