year,rmse,mae,directional_accuracy (%),spearman
2015,0.06634898053755846,0.04780314435219097,61.33,0.2502603435029933
2016,0.10591763103989936,0.09068061576739662,39.21,0.00794932135704857
2017,0.1188078110004543,0.09982131485423563,40.13,-0.07353978023990233
2018,0.10633373998068565,0.08835771746371661,65.33,0.044081289647102305
2019,0.1244363236621204,0.10454085467588299,40.48,-0.08143418381547597
2020,0.1802123898166045,0.16013974140113538,36.46,-0.017881006365277938
2021,0.08887269396981473,0.06886138282373451,47.46,0.11317294698104859
