year,rmse,mae,directional_accuracy (%),spearman
2015,0.0908299717842532,0.07026415318250656,32.76,-0.09147512248000628
2016,0.1175040777049252,0.09637392312288284,58.62,0.3583027894112695
2017,0.05947922559137872,0.04591217637062073,37.66,-0.028911193753772463
2018,0.1130064104878668,0.09267634898424149,61.9,-0.07646858388987325
2019,0.06697486314227384,0.055430810898542404,44.83,-0.11038096135032643
2020,0.11417989029998465,0.09534069895744324,33.05,0.10378505860968491
2021,0.06114571285939953,0.04864600673317909,56.9,0.14907291908919845
2022,0.13172403460724616,0.10408972948789597,56.28,0.025875698514379174
