year,rmse,mae,directional_accuracy (%),spearman
2015,0.208251746457709,0.18614071877792146,36.93,-0.2034267352983695
2016,0.4875326193754818,0.46275537386348564,33.73,0.09547628725676006
2017,0.21647645242275007,0.18220220668062273,39.93,-0.11607731025658236
2018,0.2495511063528606,0.22687327846287547,72.3,0.059794709613844935
2019,0.24016855963801706,0.19440772911340493,39.28,0.019423457201721853
2020,0.32703469606418084,0.3008701673211668,25.74,0.17993576407217654
2021,0.12324995024644263,0.09676596739416964,51.52,0.27281987320862766
