year,rmse,mae,directional_accuracy (%),spearman
2015,0.12531236395547882,0.10926219862421897,39.77,0.20806944942688702
2016,0.3629890840474079,0.34038612340416624,36.19,0.04175702330008468
2017,0.12710739920060538,0.10564863577520817,41.73,-0.15968867186163194
2018,0.17402528601276135,0.15147248679836958,69.5,0.023750982360890224
2019,0.13516142658173647,0.114900655211055,38.88,-0.019619245780696064
2020,0.21936079979078085,0.19845224564718986,29.76,-0.002810688568188582
2021,0.09617672244447246,0.06877221638511284,56.39,0.23679864103171663
