year,rmse,mae,directional_accuracy (%),spearman
2015,0.04703632053340556,0.03537515178322792,34.48,0.09341058527087828
2016,0.08666629246379154,0.07496561110019684,49.14,0.16382145307703985
2017,0.04029385685924297,0.03201266750693321,44.59,-0.04047002472789579
2018,0.05237152515642562,0.0392848439514637,59.31,0.08964738410015773
2019,0.045367105134620216,0.036333099007606506,47.41,-0.0035758972417252715
2020,0.07348936968113812,0.06068217009305954,35.62,-0.14096682263028273
2021,0.03530890712879616,0.027900375425815582,57.33,0.2220064233531748
2022,0.07923520537084033,0.061890870332717896,51.95,0.1361961876204755
