year,rmse,mae,directional_accuracy (%),spearman
2015,0.020258011515690195,0.01341811753809452,48.28,0.08852964410164349
2016,0.03102253574297834,0.024940218776464462,48.71,0.04191804939178033
2017,0.014407600512946058,0.010164925828576088,48.05,0.015137561089585076
2018,0.023982761127617717,0.017076950520277023,57.58,0.11631651706614225
2019,0.013874624522205545,0.010306633077561855,53.45,0.05327904299341327
2020,0.025923101905739165,0.01978166587650776,46.35,0.020288551663422166
2021,0.016099748925651622,0.012258761562407017,56.9,0.08498738201268909
2022,0.034049164669986566,0.025712227448821068,50.22,0.09123425300336846
